author_cluster_id	author_cluster_label	cluster_annotation_mapped	module	units	mean_score	sd_score	median_score	q25_score	q75_score
15	L5/6-V2	TRUE	synaptic_assembly_receptor_trafficking	119	0.132226305750398	0.461499010680747	0.0373254283323906	-0.10324186215277	0.25268584582925
14	UNRESOLVED	FALSE	synaptic_assembly_receptor_trafficking	128	-0.553840664539122	0.115123133761675	-0.583594283678952	-0.64223469839995	-0.499503039657563
0	iSVZ	TRUE	synaptic_assembly_receptor_trafficking	307	-0.355845479760838	0.184235548164659	-0.401370084598227	-0.476584506509143	-0.285932705562043
4	oSVZ-2	TRUE	synaptic_assembly_receptor_trafficking	265	-0.455153358507498	0.124279978935458	-0.467681709570711	-0.525435990494768	-0.403221230824847
6	oSVZ-L1	TRUE	synaptic_assembly_receptor_trafficking	234	-0.437680857748371	0.127440665738632	-0.450996738215952	-0.527261694287582	-0.386573855904219
10	L4-V1	TRUE	synaptic_assembly_receptor_trafficking	158	1.1698638349007	0.528325263221111	1.12494879336277	0.775888065685042	1.46682046489569
9	L5/6-V1	TRUE	synaptic_assembly_receptor_trafficking	162	0.0271933292967514	0.290326782401959	-0.0242479674279897	-0.205889926786892	0.220870381718239
11	oSVZ-3	TRUE	synaptic_assembly_receptor_trafficking	153	-0.247473127661123	0.189198901327939	-0.286597260588483	-0.383879621550301	-0.151808478682133
1	IZ	TRUE	synaptic_assembly_receptor_trafficking	283	-0.441402476295789	0.117567311568549	-0.466575643366315	-0.515747552777245	-0.38261611591473
12	L2/3-V2	TRUE	synaptic_assembly_receptor_trafficking	147	0.305078958406461	0.858023739018616	-0.0544366465723378	-0.423288695768397	0.900293571617939
16	L2-V1	TRUE	synaptic_assembly_receptor_trafficking	113	0.314117004269201	0.506901865530805	0.268529420440636	-0.0726067729130472	0.656137032703001
13	SP-V2	TRUE	synaptic_assembly_receptor_trafficking	140	-0.172355624961055	0.214621185946925	-0.187742106812709	-0.2999789816117	-0.0707004315761162
18	iSVZ-L	TRUE	synaptic_assembly_receptor_trafficking	71	-0.131003342471547	0.28363781095748	-0.211199662395451	-0.287883073181315	-0.0386922843169606
7	oSVZ-L2	TRUE	synaptic_membrane_structural_candidates	210	-0.10748776227986	0.286991860911003	-0.178538815200543	-0.288768252952157	0.0026286715342537
17	L3-V1	TRUE	synaptic_membrane_structural_candidates	87	0.735229573087801	0.402385071671992	0.735058670748676	0.511961047117421	0.953534039159191
8	L4-V2	TRUE	synaptic_membrane_structural_candidates	200	1.82527299048915	1.195100382059	1.63183484345874	1.23623343800718	2.15097759481417
5	SP-V1	TRUE	synaptic_membrane_structural_candidates	260	-0.34733290224211	0.111794740625896	-0.360676677285611	-0.426139557349756	-0.29255836898647
2	oSVZ-1	TRUE	synaptic_membrane_structural_candidates	282	0.0639004860193419	0.405930142716866	0.0219597753773213	-0.17364704141565	0.192169432623323
3	VZ	TRUE	synaptic_membrane_structural_candidates	272	0.0184869764031524	0.412042208461763	-0.0503128193906361	-0.253653749296396	0.172162278363102
15	L5/6-V2	TRUE	synaptic_membrane_structural_candidates	119	0.0707896526929691	0.411446178140059	-0.0182065881526529	-0.169179819127465	0.186720285337018
14	UNRESOLVED	FALSE	synaptic_membrane_structural_candidates	128	-0.553877607321751	0.096848476477831	-0.580050164708803	-0.628374640553527	-0.509468276927402
0	iSVZ	TRUE	synaptic_membrane_structural_candidates	307	-0.26766234575646	0.23066191250827	-0.321147252690441	-0.410845243023711	-0.18791755406612
4	oSVZ-2	TRUE	synaptic_membrane_structural_candidates	265	-0.428033222125915	0.130801294548923	-0.436009371686672	-0.509803557393693	-0.369268363655386
6	oSVZ-L1	TRUE	synaptic_membrane_structural_candidates	234	-0.406628107009894	0.134241351431253	-0.425638161152274	-0.506817819340894	-0.329873877238971
10	L4-V1	TRUE	synaptic_membrane_structural_candidates	158	0.846469256974765	0.441018317530983	0.822017749228023	0.556739435258256	1.09313424781687
9	L5/6-V1	TRUE	synaptic_membrane_structural_candidates	162	-0.0475989661893734	0.251634964061428	-0.100259219485745	-0.239251192084973	0.0827330009470948
11	oSVZ-3	TRUE	synaptic_membrane_structural_candidates	153	-0.170279447399204	0.219080972739287	-0.197096871715685	-0.327754069669025	-0.0643832335841202
1	IZ	TRUE	synaptic_membrane_structural_candidates	283	-0.438935054437124	0.110229715380637	-0.462977359749711	-0.507714575454563	-0.388602568037484
12	L2/3-V2	TRUE	synaptic_membrane_structural_candidates	147	0.268096712341953	0.805599152792019	-0.0325902663468565	-0.403075643641751	0.79973558907266
16	L2-V1	TRUE	synaptic_membrane_structural_candidates	113	0.216951586002647	0.472604993003362	0.157260185005229	-0.135518230753644	0.480188974360606
13	SP-V2	TRUE	synaptic_membrane_structural_candidates	140	-0.174183141097217	0.190308395789368	-0.181199425981102	-0.313188799118146	-0.0762952055586306
18	iSVZ-L	TRUE	synaptic_membrane_structural_candidates	71	-0.0178075382638042	0.324912171295306	-0.0618327643790983	-0.237500185712934	0.0914070825541458
