profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class
14	all_cells_cell_balanced|vorinostat	all_cells_cell_balanced	True	vorinostat	Tier_C_program_overlap_dependent	210	22	46	injury_stress	0.08794715252532186	0.07840950869563967	0.01842520640704782	0.5176410846629074	0.3031393721255749	0.6970605878824235	0.6062787442511498	0.599130173965207	0.7373660403054525	1.0	1.0	0.9586082783443312	0.7179616708237301	0.9938012397520496	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
9	all_cells_cell_balanced|resveratrol	all_cells_cell_balanced	True	resveratrol	Tier_A_global_residual_mechanism	171	21	27	injury_stress	-0.057182278981491766	-0.06000878510400653	0.006134697781551386	0.4607408911022141	0.31953609278144374	0.6806638672265547	0.6390721855628875	0.599130173965207	0.7567960092192089	1.0	1.0	0.9586082783443312	0.7373909833417932	0.9958008398320336	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	injury_stress	-0.054156991574600896	-0.05179613273777068	0.007952182021475322	-0.2968818910903426	0.614877024595081	0.3853229354129174	0.7706458708258348	0.7094734899174011	1.0	1.0	0.8269774616505269	0.9733053389322136	0.841545976518982	1.0	0.9992001599680064	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
11	all_cells_cell_balanced|trichostatin A	all_cells_cell_balanced	True	trichostatin A	Tier_C_program_overlap_dependent	15	5	3	injury_stress	0.044124869403345694	0.03421648848561672	0.037721359050632446	0.26267295683671427	0.3893221355728854	0.610877824435113	0.7786442711457708	0.628374325134973	0.841545976518982	1.0	1.0	0.9733053389322136	0.841545976518982	0.9988002399520096	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	injury_stress	-0.022921016107101757	-0.022612074119611043	0.013502119905315928	-0.022880998662223442	0.46070785842831435	0.5394921015796841	0.9214157168566287	0.628374325134973	0.9214157168566287	1.0	1.0	0.99500099980004	0.9531886726103055	1.0	0.9998000399920016	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
6	all_cells_cell_balanced|fulvestrant	all_cells_cell_balanced	True	fulvestrant	Tier_D_no_fixed_panel_mechanism	42	7	0	injury_stress	0.011891324297993076	0.01162827363744608	0.009378447077593772	0.02804842404831134	0.4861027794441112	0.5140971805638872	0.9722055588882224	0.628374325134973	0.9425614877024594	1.0	1.0	0.99500099980004	0.9943011397720455	0.9998000399920016	0.9998000399920016	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
10	all_cells_cell_balanced|rifabutin	all_cells_cell_balanced	True	rifabutin	Tier_C_program_overlap_dependent	42	7	0	injury_stress	-0.03286792093233622	-0.03276659406495746	0.009855496191994252	-0.010281254784621299	0.5026994601079784	0.49750049990002	0.99500099980004	0.628374325134973	0.9425614877024594	1.0	1.0	0.99500099980004	0.99500099980004	1.0	0.9998000399920016	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	late_maturation_support	-0.02254660526303269	-0.050159894824028016	0.00813726251961347	3.393437227131145	0.0003999200159968006	0.9998000399920016	0.0007998400319936012	0.005998800239952009	0.002768677033824004	0.9998000399920016	1.0	0.008998200359928014	0.0035992801439712055	0.004399120175964807	1.0	0.009598080383923215	0.033593281343731254	1.0	0.0613877224555089	positive_FDR_supported	positive_global_maxT_supported
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	late_maturation_support	-0.06483530007566277	-0.03161983945254651	0.01021956682690526	-3.250182829243725	0.9996000799840032	0.0005998800239952009	0.0011997600479904018	0.9996000799840032	1.0	0.007498500299940012	0.00674865026994601	0.008998200359928014	0.005141828777101722	1.0	0.008398320335932814	0.016796640671865627	1.0	0.052389522095580884	0.09398120375924815	negative_FDR_supported	not_global_maxT_supported
13	all_cells_cell_balanced|verapamil	all_cells_cell_balanced	True	verapamil	Tier_C_program_overlap_dependent	42	7	0	late_maturation_support	-0.07461190881674179	-0.04710197254642844	0.00797940010026226	-3.4476196110794315	0.9992001599680064	0.0009998000399920016	0.001999600079984003	0.9996000799840032	1.0	0.007498500299940012	0.009998000399920015	0.009998000399920015	0.008180182145389105	1.0	0.004599080183963208	0.007598480303939212	1.0	0.027394521095780843	0.05118976204759048	negative_FDR_supported	negative_global_maxT_supported
